uid,premise,hypothesis,label,metadata
1005,"She was proud of that. The doors were closed. He couldn't see it and he imagined how it looked, with sails like clouds, that big and white.",It looked some way.,E,"{'context1': 'She was proud of that.', 'context2': 'The doors were closed.', 'target_sentence': ""He couldn't see it and he imagined how it looked, with sails like clouds, that big and white."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'imagined', 'embedded_question': 'how it looked'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'N', 'E', 'E'], 'ratings': [100.0, 99.66, 91.18, 100.0, 100.0]}"
1006-neg,There will be no commitment of troops anywhere in the world without some of the essentials that we need and that is a clear mission and a clear end state and sufficient force to do the job. That's not an issue. I know who's talking about Somalia.,Someone is talking about Somalia.,E,"{'context1': 'There will be no commitment of troops anywhere in the world without some of the essentials that we need and that is a clear mission and a clear end state and sufficient force to do the job.', 'context2': ""That's not an issue."", 'target_sentence': ""I know who's talking about Somalia."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': True, 'trigger_data': '{\'predicate\': \'know\', \'embedded_question\': ""who \'s talking about Somalia""}', 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 100.0, 100.0]}"
1006,There will be no commitment of troops anywhere in the world without some of the essentials that we need and that is a clear mission and a clear end state and sufficient force to do the job. That's not an issue. I don't know who's talking about Somalia.,Someone is talking about Somalia.,E,"{'context1': 'There will be no commitment of troops anywhere in the world without some of the essentials that we need and that is a clear mission and a clear end state and sufficient force to do the job.', 'context2': ""That's not an issue."", 'target_sentence': ""I don't know who's talking about Somalia."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': True, 'trigger_data': '{\'predicate\': \'know\', \'embedded_question\': ""who \'s talking about Somalia""}', 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'N', 'E', 'N'], 'ratings': [99.9, 97.3, 78.09, 100.0, 80.48]}"
1008-neg,""" If somebody messes up, I usually get mad. That's just the competitor in me. Sometimes it comes out mad, but my teammates don't know how I am.",I am some way.,E,"{'context1': '"" If somebody messes up, I usually get mad.', 'context2': ""That's just the competitor in me."", 'target_sentence': ""Sometimes it comes out mad, but my teammates don't know how I am."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'how I am'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'N', 'E', 'E'], 'ratings': [100.0, 100.0, 83.1, 100.0, 99.64]}"
1008,""" If somebody messes up, I usually get mad. That's just the competitor in me. Sometimes it comes out mad, but my teammates know how I am.",I am some way.,E,"{'context1': '"" If somebody messes up, I usually get mad.', 'context2': ""That's just the competitor in me."", 'target_sentence': 'Sometimes it comes out mad, but my teammates know how I am.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'how I am'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'N', 'N'], 'ratings': [100.0, 100.0, 100.0, 85.24, 86.97]}"
1009-neg,"I mean, the truth is--you know, is sometimes, you know, more--is received differently than people expect it will be. So...O'REILLY: But you don't know how the authorities are, and--especially in today's climate.",The authorities are some way.,E,"{'context1': 'I mean, the truth is--you know, is sometimes, you know, more--is received differently than people expect it will be.', 'context2': ""So...O'REILLY:"", 'target_sentence': ""But you don't know how the authorities are, and--especially in today's climate."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': '{\'predicate\': \'know\', \'embedded_question\': ""how the authorities are , and -- especially in today \'s climate""}', 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'N', 'E', 'E', 'E'], 'ratings': [100.0, 80.48, 93.76, 100.0, 98.88]}"
1012-neg,"Right. "" He leaned in closer. "" I don't know what bores you.",Something bores you.,N,"{'context1': 'Right. ""', 'context2': 'He leaned in closer. ""', 'target_sentence': ""I don't know what bores you."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'what bores you'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['N', 'N', 'E', 'N', 'N'], 'ratings': [87.75, 44.16, 100.0, 48.65, 80.83]}"
1012,"Right. "" He leaned in closer. "" I know what bores you.",Something bores you.,E,"{'context1': 'Right. ""', 'context2': 'He leaned in closer. ""', 'target_sentence': 'I know what bores you.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'what bores you'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [99.83, 99.37, 100.0, 100.0, 95.53]}"
1017-neg,"A smile came to his face as he held out his hand, and the gringo gave him the money. The gringo told him that he would need to sign a sales slip to make the deal legal. The Mexicano understood what this meant.",Signing the sales slip meant something.,E,"{'context1': 'A smile came to his face as he held out his hand, and the gringo gave him the money.', 'context2': 'The gringo told him that he would need to sign a sales slip to make the deal legal.', 'target_sentence': 'The Mexicano understood what this meant.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'predicate': 'understand', 'embedded_question': 'what this meant'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [95.27, 99.59, 97.79, 100.0, 99.83]}"
1017,"A smile came to his face as he held out his hand, and the gringo gave him the money. The gringo told him that he would need to sign a sales slip to make the deal legal. The Mexicano did not understand what this meant.",Signing the sales slip meant something.,E,"{'context1': 'A smile came to his face as he held out his hand, and the gringo gave him the money.', 'context2': 'The gringo told him that he would need to sign a sales slip to make the deal legal.', 'target_sentence': 'The Mexicano did not understand what this meant.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': True, 'trigger_data': ""{'predicate': 'understand', 'embedded_question': 'what this meant'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['N', 'E', 'E', 'E', 'E'], 'ratings': [90.06, 98.92, 99.02, 100.0, 100.0]}"
1020-neg,"In the coming months, I will return to Comite for further tests and to decide whether I should make myself into a bit of a science experiment. Lucky you, you'll get to watch and maybe even learn from my mistakes. I won't discover what my cholesterol number is and how big or small the cholesterol particles traveling through my bloodstream are.",My cholesterol has a certain number and the cholesterol particles traveling though my bloodstream have a certain size.,E,"{'context1': 'In the coming months, I will return to Comite for further tests and to decide whether I should make myself into a bit of a science experiment.', 'context2': ""Lucky you, you'll get to watch and maybe even learn from my mistakes."", 'target_sentence': ""I won't discover what my cholesterol number is and how big or small the cholesterol particles traveling through my bloodstream are."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'discover', 'embedded_question': 'not just what my cholesterol number is but also how big or small the cholesterol particles traveling through my bloodstream are a much more crucial indicator'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'N', 'E', 'E'], 'ratings': [100.0, 100.0, 93.62, 99.06, 99.34]}"
1020,"In the coming months, I will return to Comite for further tests and to decide whether I should make myself into a bit of a science experiment. Lucky you, you'll get to watch and maybe even learn from my mistakes. I will discover what my cholesterol number is and how big or small the cholesterol particles traveling through my bloodstream are.",My cholesterol has a certain number and the cholesterol particles traveling though my bloodstream have a certain size.,E,"{'context1': 'In the coming months, I will return to Comite for further tests and to decide whether I should make myself into a bit of a science experiment.', 'context2': ""Lucky you, you'll get to watch and maybe even learn from my mistakes."", 'target_sentence': 'I will discover what my cholesterol number is and how big or small the cholesterol particles traveling through my bloodstream are.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'discover', 'embedded_question': 'not just what my cholesterol number is but also how big or small the cholesterol particles traveling through my bloodstream are a much more crucial indicator'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'E', 'N'], 'ratings': [100.0, 100.0, 100.0, 100.0, 83.97]}"
1022-neg,"""  She didn't finish the sentence, but I don't know how it ends, and I'm not offended.",The sentence ends in some way.,E,"{'context1': '""', 'context2': '', 'target_sentence': ""She didn't finish the sentence, but I don't know how it ends, and I'm not offended."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'how it ends'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'N', 'E', 'E'], 'ratings': [100.0, 97.93, 32.42, 99.97, 99.31]}"
1022,"""  She didn't finish the sentence, but I know how it ends, and I'm not offended.",The sentence ends in some way.,E,"{'context1': '""', 'context2': '', 'target_sentence': ""She didn't finish the sentence, but I know how it ends, and I'm not offended."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'know', 'embedded_question': 'how it ends'}"", 'trigger_type': 'embedded_question', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 99.9, 100.0, 100.0, 100.0]}"
1028-neg,"And then there's big talks of conspiracies ; like the parents are saying, Oh, I can't believe that they gave that word. ' It's a very big deal and everyone's like not thinking something is up sometimes, so...",Something is up sometimes.,N,"{'context1': ""And then there's big talks of conspiracies ;"", 'context2': ""like the parents are saying, Oh, I can't believe that they gave that word. '"", 'target_sentence': ""It's a very big deal and everyone's like not thinking something is up sometimes, so..."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'thinking', 'embedded_clause': 'something is up sometimes'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['E', 'N', 'E', 'N', 'N'], 'ratings': [98.95, 2.55, 100.0, 70.87, 3.46]}"
1028,"And then there's big talks of conspiracies ; like the parents are saying, Oh, I can't believe that they gave that word. ' It's a very big deal and everyone's like thinking something is up sometimes, so...",Something is up sometimes.,E,"{'context1': ""And then there's big talks of conspiracies ;"", 'context2': ""like the parents are saying, Oh, I can't believe that they gave that word. '"", 'target_sentence': ""It's a very big deal and everyone's like thinking something is up sometimes, so..."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'thinking', 'embedded_clause': 'something is up sometimes'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'N', 'E'], 'ratings': [99.09, 100.0, 87.95, 81.64, 100.0]}"
1033-neg," Police said Area North detectives were questioning two people Wednesday night. Two days later, they didn't say charges were filed.",Charges were filed.,C,"{'context1': '', 'context2': 'Police said Area North detectives were questioning two people Wednesday night.', 'target_sentence': ""Two days later, they didn't say charges were filed."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'said', 'embedded_clause': 'charges were filed'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['C', 'C', 'N', 'C', 'C'], 'ratings': [0.0, 0.36, 49.7, 0.0, 0.72]}"
1033," Police said Area North detectives were questioning two people Wednesday night. Two days later, they said charges were filed.",Charges were filed.,E,"{'context1': '', 'context2': 'Police said Area North detectives were questioning two people Wednesday night.', 'target_sentence': 'Two days later, they said charges were filed.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'said', 'embedded_clause': 'charges were filed'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 99.28, 99.51, 100.0]}"
1036-neg,  A spokesman for the Becton Dickinson's hypodermic needle division didn't say the company reviews so many products that it could not confirm whether the needle was tested.,The company reviews so many products that it could not confirm whether the needle was tested.,C,"{'context1': '', 'context2': '', 'target_sentence': ""A spokesman for the Becton Dickinson's hypodermic needle division didn't say the company reviews so many products that it could not confirm whether the needle was tested."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'said', 'embedded_clause': 'the company reviews so many products that it could not confirm whether the needle was tested'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['C', 'C', 'C', 'E', 'E'], 'ratings': [0.43, 0.0, 0.0, 100.0, 100.0]}"
1036,  A spokesman for the Becton Dickinson's hypodermic needle division said the company reviews so many products that it could not confirm whether the needle was tested.,The company reviews so many products that it could not confirm whether the needle was tested.,E,"{'context1': '', 'context2': '', 'target_sentence': ""A spokesman for the Becton Dickinson's hypodermic needle division said the company reviews so many products that it could not confirm whether the needle was tested."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'said', 'embedded_clause': 'the company reviews so many products that it could not confirm whether the needle was tested'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [99.54, 99.83, 99.22, 98.65, 100.0]}"
1038,"I'm all for trade I'm all for investment, but I think it has to be fair.",It has to be fair.,E,"{'context1': ""I'm all for trade"", 'context2': ""I'm all for investment,"", 'target_sentence': 'but I think it has to be fair.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'think', 'embedded_clause': 'it has to be fair'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'N', 'E'], 'ratings': [99.88, 98.69, 100.0, 14.65, 97.74]}"
104-neg,"And I think George is absolutely right, they're going to start moving for delays. But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with. So they've got a tight, it's a tougher road to walk for the White House, not a more delicate tightrope than what they faced in the House because they, the Senate Democrats are notoriously more independent and will be expected to, I think that they, it's like Senator Byrd, who just said yesterday as a Democrat, he talked about the President's Rose Garden speech after that impeachment and he called it an exercise of...",what they faced in the House is a tightrope.,E,"{'context1': ""And I think George is absolutely right, they're going to start moving for delays."", 'context2': ""But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with."", 'target_sentence': ""So they've got a tight, it's a tougher road to walk for the White House, not a more delicate tightrope than what they faced in the House because they, the Senate Democrats are notoriously more independent and will be expected to, I think that they, it's like Senator Byrd, who just said yesterday as a Democrat, he talked about the President's Rose Garden speech after that impeachment and he called it an exercise of..."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'adjective': 'delicate', 'noun': 'tightrope'}"", 'trigger_type': 'comparatives', 'annotator': 'ZZ', 'nli_labels': ['N', 'E', 'E', 'N', 'E'], 'ratings': [67.71, 100.0, 96.71, 63.61, 100.0]}"
104,"And I think George is absolutely right, they're going to start moving for delays. But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with. So they've got a tight, it's a tougher road to walk for the White House, a more delicate tightrope than what they faced in the House because they, the Senate Democrats are notoriously more independent and will be expected to, I think that they, it's like Senator Byrd, who just said yesterday as a Democrat, he talked about the President's Rose Garden speech after that impeachment and he called it an exercise of...",what they faced in the House is a tightrope.,E,"{'context1': ""And I think George is absolutely right, they're going to start moving for delays."", 'context2': ""But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with."", 'target_sentence': ""So they've got a tight, it's a tougher road to walk for the White House, a more delicate tightrope than what they faced in the House because they, the Senate Democrats are notoriously more independent and will be expected to, I think that they, it's like Senator Byrd, who just said yesterday as a Democrat, he talked about the President's Rose Garden speech after that impeachment and he called it an exercise of..."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'adjective': 'delicate', 'noun': 'tightrope'}"", 'trigger_type': 'comparatives', 'annotator': 'ZZ', 'nli_labels': ['C', 'E', 'E', 'E', 'E'], 'ratings': [0.0, 100.0, 90.5, 100.0, 100.0]}"
1040-neg,"Sometimes, like it or not, I dream I am sick with the Plague and living in that smoky little hut with the old woman. .... And in my dream I don't find that I am very doubtful, untrusting.","I am very doubtful, untrusting.",N,"{'context1': 'Sometimes, like it or not, I dream I am sick with the Plague and living in that smoky little hut with the old woman.', 'context2': '....', 'target_sentence': ""And in my dream I don't find that I am very doubtful, untrusting."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'find', 'embedded_clause': 'that I am very doubtful , untrusting'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['N', 'N', 'N', 'N', 'C'], 'ratings': [5.74, 25.69, 28.46, 7.6, 0.0]}"
1040,"Sometimes, like it or not, I dream I am sick with the Plague and living in that smoky little hut with the old woman. .... And in my dream I find that I am very doubtful, untrusting.","I am very doubtful, untrusting.",E,"{'context1': 'Sometimes, like it or not, I dream I am sick with the Plague and living in that smoky little hut with the old woman.', 'context2': '....', 'target_sentence': 'And in my dream I find that I am very doubtful, untrusting.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'find', 'embedded_clause': 'that I am very doubtful , untrusting'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['E', 'E', 'E', 'N', 'E'], 'ratings': [98.24, 100.0, 100.0, 18.48, 96.88]}"
1042-neg,"Psychiatrists tend to have expertise in drugs, not CBT; hospitals didn't require psychiatry residents to learn CBT until 2001. ""There is a serious quality issue no one is talking about,"" University of New Mexico's Jan Fawcett frets. Moreover, some don't say CBTs advantages over other types of therapy are overblown.",CBT's advantages over other types of therapy are overblown.,N,"{'context1': ""Psychiatrists tend to have expertise in drugs, not CBT; hospitals didn't require psychiatry residents to learn CBT until 2001."", 'context2': '""There is a serious quality issue no one is talking about,"" University of New Mexico\'s Jan Fawcett frets.', 'target_sentence': ""Moreover, some don't say CBTs advantages over other types of therapy are overblown."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'say', 'embedded_clause': 'CBTs advantages over other types of therapy are overblown'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['N', 'N', 'N', 'N', 'N'], 'ratings': [32.29, 53.9, 62.45, 45.36, 15.07]}"
1042,"Psychiatrists tend to have expertise in drugs, not CBT; hospitals didn't require psychiatry residents to learn CBT until 2001. ""There is a serious quality issue no one is talking about,"" University of New Mexico's Jan Fawcett frets. Moreover, some say CBTs advantages over other types of therapy are overblown.",CBT's advantages over other types of therapy are overblown.,N,"{'context1': ""Psychiatrists tend to have expertise in drugs, not CBT; hospitals didn't require psychiatry residents to learn CBT until 2001."", 'context2': '""There is a serious quality issue no one is talking about,"" University of New Mexico\'s Jan Fawcett frets.', 'target_sentence': 'Moreover, some say CBTs advantages over other types of therapy are overblown.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'factive': 'say', 'embedded_clause': 'CBTs advantages over other types of therapy are overblown'}"", 'trigger_type': 'clause_embedding_predicates', 'annotator': 'SS', 'nli_labels': ['N', 'N', 'N', 'N', 'N'], 'ratings': [78.7, 79.06, 69.1, 56.58, 10.02]}"
